,title,d23_link,summary
1960,Up,a-to-z/up-film/,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to the fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent and overly-optimistic 8-year-old Wilderness Explorer named Russell) gives him a new lease on life. Tying thousands of balloons to his house, Carl takes a thrilling journey to find a mountaintop waterfall in Venezuela where his late wife, Ellie, had always dreamed of visiting, only to discover all too late that his biggest nightmare, Russell, has stowed away on the trip. The unlikely pair encounter wild terrain and unexpected villains as they try to save a rare 13-foot-tall flightless bird they name Kevin. CGI animated film from Pixar Animation Studios. Directed by Pete Docter and Bob Peterson. Released on May 29, 2009 in the U.S., after a May 28 release in Russia and a May 13 screening at the Cannes Film Festival. Voices include Ed Asner (Carl), Christopher Plummer (Charles Muntz), John Ratzenberger (Tom), Delroy Lindo (Beta), Jordan Nagai (Russell), Bob Peterson (Dug/Alpha), Jerome Ranft (Gamma). 96 min. Pixar's first title produced in Disney Digital 3-D. It became the second animated feature, after Beauty and the Beast, to be nominated for a Best Picture Academy Award. It won Oscars for Animated Feature and Original Score."
1961,Up a Tree,a-to-z/up-a-tree-film/,"Donald Duck cartoon; released on September 23, 1955. Directed by Jack Hannah. Donald Duck, a logger in a logging camp, is getting ready to topple a tree that is the home of Chip and Dale, who quickly get revenge that ultimately leads to the destruction of Donald's house."
1962,Up Close & Personal,a-to-z/up-close-personal-film/,"Tally Atwater is determined to capture the coveted news anchor position, a spot many assured her she would never achieve. Blazing a trail from small-town weathergirl to prime-time anchor, she has a meteoric rise to fame that causes her to collide with Warren Justice, a brilliant older newsman who becomes her mentor and lover. As their relationship grows, so, too, does Tally's celebrity, to the point where her popularity begins to eclipse Warren's. A Touchstone Picture in association with Cinergi Pictures Entertainment. Directed by Jon Avnet. Released on March 1, 1996. Stars Robert Redford (Warren Justice), Michelle Pfeiffer (Tally Atwater), Stockard Channing (Marcia McGrath), Joe Mantegna (Bucky Terranova), Kate Nelligan (Joanna Kennelly), Glenn Plummer (Ned), James Rebhorn (John Merino). 124 min. Suggested by the book, Golden Girl: The Story of Jessica Savitch, by Alanna Nash. The movie filmed in such disparate settings as the Orange Bowl, Holmesburg Prison in Philadelphia, and Hollywood soundstages. Released on video in 1996."
1963,Using Simple Machines,a-to-z/using-simple-machines-film/,Educational film; released in September 1986. 14 min. The film explains basic concepts of mechanical physics.
1964,V.I. Warshawski,a-to-z/v-i-warshawski-film/,"A tough-talking, fiercely independent female private investigator (with a weakness for pretty shoes), Warshawski is often forced to play hardball with Chicago's crime element. When her new flame, ex-hockey player Boom-Boom Grafalk turns up murdered, his 13-year-old daughter Kat hires V.I. to find her father's killer. She soon uncovers a startling conspiracy for murder and money. Released on July 26, 1991. Directed by Jeff Kanew. A Hollywood Pictures film. 89 min. Stars Kathleen Turner (Vic), Jay O. Sanders (Murray), Charles Durning (Lt. Mallory). Based on the novels by Sara Paretsky. Filmed on location in Chicago. Released on video in 1991."
1965,Valiant,a-to-z/valiant-film/,"In England during World War II, a young pigeon, Valiant, inspired by the heroic exploits of squadron leader Gutsy of the Royal Homing Pigeon Service, decides to join up. In Trafalgar Square, Valiant meets up with a Cockney con-bird, Bugsy, who also enlists. After a rigorous training period, they and their Squadron F are sent to France to collect a message from the Resistance despite attacks by a brigade of vicious enemy falcons, led by the ruthless General Von Talon. A CGI-animated film from Walt Disney Pictures, Vanguard Animation, and Ealing Studios, released in the United States by Buena Vista on August 19, 2005. Originally released in the United Kingdom on March 25, 2005. Directed by Gary Chapman. Voices include Ewan McGregor (Valiant), Ricky Gervais (Bugsy), Tim Curry (General Von Talon), Jim Broadbent (Sergeant), Hugh Laurie (Gutsy), John Cleese (Mercury), John Hurt (Felix). 76 min. Released on DVD in 2005."
1966,"Vanishing Prairie, The",a-to-z/vanishing-prairie-the-film/,"True-Life Adventure feature, released on August 16, 1954. Directed by James Algar. Academy Award winner. 71 min. Story of the pronghorn antelope, the prairie dog, the bighorn sheep, the mountain lion, the buffalo, and numerous other creatures that once made the prairie their home, and how the animals survived through the seasons. A team of 12 photographers, led by Tom McHugh, filmed in the wilderness from the Mississippi to the Rockies and from the Gulf of Mexico to the plains of Canada. Released on video in 1985."
1967,"Vanishing Private, The",a-to-z/vanishing-private-the-film/,"Donald Duck cartoon; released on September 25, 1942. Directed by Jack King. After Donald camouflages a cannon with invisible paint, Pete tries to catch him, so he makes himself invisible. The general sees Pete chasing nothing and puts him in a straitjacket, with Donald guarding him."
1968,Veronica Guerin,a-to-z/veronica-guerin-film/,"Veronica Guerin, a journalist covering the crime beat in Dublin in the 1990s, starts a crusade to expose local drug dealers, and in doing so she neglects her family and is accused of glory-seeking. Guerin relentlessly pursues her mission, and her obsession eventually leads to her murder. A Touchstone Picture with Jerry Bruckheimer Films. Released in the U.S. on October 17, 2003, after a premiere (July 8) and initial release (July 11) in Ireland. Directed by Joel Schumacher. Stars Cate Blanchett (Veronica Guerin), Brenda Fricker (Bernie Guerin), Ciaran Hinds (John Traynor), Gerard McSorley (John Gilligan), Barry Barnes (Graham Turley), Joe Hanley (Eugene ""Dutchie"" Holland), David Murray (Charles Bowden), David Herlihy (Peter ""Fatso"" Mitchell). 98 min. Filmed on location in Ireland in Super 35-Scope. Released on video in 2004."
1969,Victory Through Air Power,a-to-z/victory-through-air-power-film/,"Based on Maj. Alexander P. de Seversky's book of the same title, the film shows how long-range air power could cause the defeat of the Axis and Japan during World War II. It opens with an animated history of aviation, followed by scenes of Major de Seversky expressing his theories about air power and its further development. Filmmakers use animation to produce strikingly vivid graphics of the Allied forces pounding the Axis strongholds. To the strains of a stirring ""Song of the Eagle,"" an animated eagle is dramatically shown attacking the heart of Japan with a dagger. Released on July 17, 1943 by United Artists, although all other Disney films at the time were being released by RKO. Sequence directors were Clyde Geronimi, Jack Kinney, James Algar. Animation supervisor was David Hand. 65 min. Nominated for an Academy Award for Best Scoring of a Dramatic or Comedy Picture. The history of aviation sequences were reissued as part of Man in Flight and Fly with Von Drake on television, and as an educational film, History of Aviation."
1970,Victory Vehicles,a-to-z/victory-vehicles-film/,"Goofy cartoon; released on July 30, 1943. Directed by Jack Kinney. Goofy demonstrates, with offscreen narration, various devices used to replace the automobile during wartime, finally ending up with a pogo stick."
1971,"Village Smithy, The",a-to-z/village-smithy-the-film/,"Donald Duck cartoon; released on January 16, 1942. Directed by Dick Lundy. Donald's pride in his trade is put to the test when he attempts to work with a cartwheel and to shoe Jenny the donkey."
1972,Vincent,a-to-z/vincent-film/,"Special cartoon about 7-year-old Vincent Malloy who would rather be Vincent Price than a little boy, and his fantasies turn his life into scenes from a horror film-much to the dismay of his mother. Released in New York on October 1, 1982. Directed by Tim Burton. Narrated by Vincent Price, this black-and-white film uses three-dimensional models and animation. The animation work was done by Stephen Chiodo. The short was popular enough to Disney for the Studio to back such later Burton creations as Frankenweenie and The Nightmare Before Christmas, which use some of the same techniques. A 3-D version was released with a reissue of Tim Burton's Nightmare Before Christmas in 2007."
1973,"Visit to EPCOT Center, A",a-to-z/visit-to-epcot-center-a-film/,Sixteen mm film released in September 1983.
1974,"Voice, The: Questions that Help You Sell",a-to-z/voice-the-questions-that-help-you-sell-film/,Educational film from The Nick Price Story of Non-Manipulative Selling series; released in February 1981. Communication with customers is important and keeps them coming back.
1975,Voices on the Road Back: A Program About Drugs,a-to-z/voices-on-the-road-back-a-program-about-drugs-film/,Educational film; released in October 1990. 15 min. The film includes interviews with teenagers who began using drugs at an early age.
1976,"Volunteer Worker, The",a-to-z/volunteer-worker-the-film/,"Community Chest trailer; starring Donald Duck. Delivered on September 1, 1940. Donald has a hard time collecting for charity, when he meets a kindly ditchdigger."
1977,Wages and Production,a-to-z/wages-and-production-film/,"Educational film, from The People on Market Street series, produced by Terry Kahn; released in September 1977. A visit to a furniture company helps students understand the concept of labor as a salable service."
1978,Waging Peace,a-to-z/waging-peace-film/,"Educational film; premiered on The Disney Channel on November 6, 1996. Produced by Disney Educational Productions in association with Jazbo Productions. Based on the Elie Wiesel Foundation for Humanity's ""Tomorrow's Leaders"" conference held in Venice, Italy, the film documents the meeting of world leaders, conflict resolution facilitators, and 30 teenagers, representing divergent points of view from some of the world's most serious crisis regions, with a goal of working toward mutual understanding and peace. Follow-up trips to each area provide a series of profiles showing the reality of the lives of a group of young people."
1979,Waking Sleeping Beauty,a-to-z/waking-sleeping-beauty-film/,"Documentary about Disney animation history for a decade beginning in 1984. After the poorly received The Black Cauldron, Roy E. Disney, Peter Schneider, and Jeffrey Katzenberg engineered a renaissance in Disney animation from The Little Mermaid to The Lion King. Directed by Don Hahn. 86 min. Premiered on September 5, 2009, at the Telluride Film Festival, and released in theaters on March 26, 2010. Released on DVD in 2010."
